Date,LWSA3,ELET6,ITSA4,RENT3,BRFS3,IBOV
2025-04-01,2.6755213737487793,42.489356994628906,9.192214965820312,34.66183853149414,20.139999389648438,131147.0
2025-04-02,2.6755213737487793,42.43191146850586,9.201952934265137,35.99498748779297,19.799999237060547,131190.0
2025-04-03,2.6952667236328125,42.89146423339844,9.367491722106934,36.77512741088867,19.639999389648438,131141.0
2025-04-04,2.547175168991089,42.125545501708984,9.094841003417969,35.649356842041016,19.25,127256.0
2025-04-07,2.5866661071777344,41.95321273803711,9.153265953063965,35.362979888916016,19.200000762939453,125588.0
2025-04-08,2.655775785446167,41.991512298583984,9.13379192352295,35.25435256958008,19.059999465942383,123932.0
2025-04-09,2.8038671016693115,42.72870635986328,9.348016738891602,36.50849914550781,20.559999465942383,127796.0
2025-04-10,2.932213306427002,43.20740509033203,9.299328804016113,36.93313217163086,20.350000381469727,126355.0
2025-04-11,2.902595043182373,42.92975997924805,9.396702766418457,38.088523864746094,20.540000915527344,127682.0
2025-04-14,2.9519588947296143,43.61908721923828,9.523290634155273,38.7699089050293,20.40999984741211,129454.0
2025-04-15,2.981577157974243,43.33186721801758,9.64987850189209,38.908164978027344,20.670000076293945,129245.0
2025-04-16,2.9914498329162598,42.470211029052734,9.630404472351074,38.26627731323242,20.68000030517578,128317.0
2025-04-17,3.455470323562622,43.65738296508789,9.68882942199707,39.74755096435547,21.149999618530273,129650.0
2025-04-22,3.4752156734466553,43.44675827026367,9.903054237365723,38.661285400390625,21.780000686645508,130464.0
2025-04-23,3.6627984046936035,44.08821487426758,10.06859302520752,39.856178283691406,21.489999771118164,132216.0
2025-04-24,3.7417805194854736,45.371124267578125,10.282819747924805,41.0806999206543,22.010000228881836,134580.0
2025-04-25,3.840508460998535,45.179649353027344,10.29255485534668,42.275596618652344,22.899999618530273,134739.0
2025-04-28,3.7121622562408447,45.39027786254883,10.350980758666992,42.52247619628906,22.700000762939453,135016.0
2025-04-29,3.623307466506958,45.620052337646484,10.350980758666992,42.64097595214844,22.75,135093.0
2025-04-30,3.564070701599121,46.283199310302734,10.419142723083496,42.42372131347656,22.700000762939453,135067.0
2025-05-02,3.5541977882385254,46.033695220947266,10.253604888916016,42.561973571777344,22.459999084472656,135134.0
2025-05-05,3.4653429985046387,45.285179138183594,10.204916954040527,42.52247619628906,21.440000534057617,133491.0
2025-05-06,3.455470323562622,45.34275817871094,10.175704956054688,41.4757080078125,20.350000381469727,133516.0
2025-05-07,3.406106472015381,45.07406234741211,10.26334285736084,41.56458282470703,20.260000228881836,133398.0
2025-05-08,3.5245795249938965,45.65943908691406,10.321768760681152,43.35198974609375,20.389999389648438,136232.0
2025-05-09,3.485088586807251,45.97611618041992,10.759955406188965,40.488189697265625,19.200000762939453,136512.0
2025-05-12,3.2975058555603027,45.60186004638672,10.516519546508789,40.98194885253906,19.709999084472656,136563.0
2025-05-13,3.5541977882385254,45.88015365600586,10.682055473327637,41.21895217895508,20.200000762939453,138963.0
2025-05-14,3.564070701599121,45.707420349121094,10.71126937866211,39.214290618896484,19.68000030517578,138423.0
2025-05-15,3.6134347915649414,44.27756118774414,10.847594261169434,40.241310119628906,20.6200008392334,139334.0
2025-05-16,3.6430530548095703,44.47908401489258,10.925494194030762,41.31770324707031,20.780000686645508,139187.0
2025-05-19,3.6430530548095703,44.94930648803711,11.04234504699707,41.57445526123047,20.5,139636.0
2025-05-20,3.791144371032715,44.74778366088867,11.061819076538086,41.17945098876953,21.0,140110.0
2025-05-21,3.7220351696014404,44.30635070800781,10.896281242370605,39.856178283691406,21.040000915527344,137881.0
2025-05-22,3.8010170459747314,44.27756118774414,10.759955406188965,40.05368423461914,21.420000076293945,137273.0
2025-05-23,3.7713987827301025,44.651817321777344,10.847594261169434,40.083309173583984,21.420000076293945,137824.0
2025-05-26,3.8010170459747314,44.776573181152344,10.896281242370605,40.34006118774414,21.309999465942383,138136.0
2025-05-27,3.8010170459747314,45.27558517456055,10.993656158447266,42.11759567260742,20.559999465942383,139541.0
2025-05-28,3.731907844543457,44.7957649230957,10.876806259155273,42.77922821044922,20.389999389648438,138888.0
2025-05-29,3.6627984046936035,45.42912292480469,10.798905372619629,42.897727966308594,20.559999465942383,138534.0
2025-05-30,3.7121622562408447,45.07406234741211,10.779430389404297,42.42372131347656,20.299999237060547,137027.0
2025-06-02,3.6924166679382324,44.718994140625,10.734085083007812,42.76935577392578,20.5,136787.0
2025-06-03,3.8898723125457764,44.90132522583008,10.714568138122559,42.58172607421875,20.5,137546.0
2025-06-04,4.087327480316162,44.62303161621094,10.685294151306152,43.15448760986328,20.5,137002.0
2025-06-05,3.870126724243164,44.28715896606445,10.568194389343262,43.64824295043945,20.5,136236.0
2025-06-06,3.8799993991851807,44.28715896606445,10.548678398132324,43.25323486328125,20.520000457763672,136102.0
2025-06-09,3.8207626342773438,43.855323791503906,10.519402503967285,43.11498260498047,21.0,135699.0
2025-06-10,4.067582130432129,44.459896087646484,10.441336631774902,43.44086837768555,21.510000228881836,136436.0
2025-06-11,4.077455043792725,44.22957992553711,10.538919448852539,43.450740814208984,21.360000610351562,137128.0
2025-06-12,4.077455043792725,44.22957992553711,10.558435440063477,43.904998779296875,20.690000534057617,137800.0
2025-06-13,4.028090953826904,43.845726013183594,10.451095581054688,43.470489501953125,21.0,137213.0
2025-06-16,4.14656400680542,44.565452575683594,10.587711334228516,44.428382873535156,20.5,139256.0
2025-06-17,4.087327480316162,44.296756744384766,10.636502265930176,44.04324722290039,20.489999771118164,138840.0
2025-06-18,4.097200393676758,43.28913879394531,10.616985321044922,44.31975555419922,20.920000076293945,138717.0
2025-06-20,4.077455043792725,42.31990432739258,10.548678398132324,42.719974517822266,20.790000915527344,137116.0
2025-06-23,4.028090953826904,42.62698745727539,10.459486961364746,41.88058853149414,21.760000228881836,136551.0
2025-06-24,4.077455043792725,42.665374755859375,10.685161590576172,42.966854095458984,20.75,137165.0
2025-06-25,3.9984729290008545,42.089595794677734,10.537982940673828,42.611351013183594,20.010000228881836,135767.0
2025-06-26,4.097200393676758,42.21434783935547,10.537982940673828,39.51054763793945,20.100000381469727,137114.0
2025-06-27,4.008345603942871,42.11838150024414,10.508546829223633,40.04380798339844,19.899999618530273,136866.0
